TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
13.75556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684463,0.5434369,-2.13435,337.7714,197.123,359.7433,-1.607874,0.7990001,-2.075813,345.8362,202.0604,5.012645,-1.482105,0.8129944,-2.034638,345.0663,182.6597,359.5526,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.78889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684023,0.5434209,-2.134283,337.772,197.1025,359.7379,-1.607883,0.799032,-2.075768,345.8389,202.0595,5.0177,-1.482122,0.8129559,-2.034542,345.0674,182.6685,359.5504,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.82222,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.968277,0.5434556,-2.134371,337.7686,197.114,359.7294,-1.607871,0.7991767,-2.075628,345.8352,202.063,5.01272,-1.482103,0.8128726,-2.034708,345.0631,182.6585,359.5468,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.84445,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682675,0.5434915,-2.13438,337.776,197.0995,359.7434,-1.607792,0.7989582,-2.075969,345.8392,202.0625,5.024579,-1.482128,0.8129009,-2.034737,345.0691,182.655,359.5464,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.86667,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682941,0.5435024,-2.13441,337.77,197.0997,359.7336,-1.60782,0.7988834,-2.075907,345.8419,202.0672,5.01955,-1.482152,0.8128706,-2.03473,345.0662,182.6696,359.5473,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.88889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683132,0.5434759,-2.134351,337.7509,197.1012,359.7342,-1.607818,0.79899,-2.075861,345.8373,202.0583,5.018707,-1.482217,0.8128924,-2.03467,345.0664,182.6672,359.5467,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.91111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.968379,0.5434682,-2.134314,337.767,197.1011,359.73,-1.607859,0.7989451,-2.075887,345.8369,202.0742,5.005651,-1.482255,0.8129488,-2.034684,345.0641,182.6727,359.5468,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.94444,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683431,0.5434782,-2.134307,337.7625,197.1089,359.7212,-1.607788,0.7990199,-2.075885,345.8315,202.0778,4.998964,-1.482242,0.8129356,-2.034634,345.0638,182.6671,359.5476,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.97778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682516,0.5434781,-2.134273,337.7698,197.1055,359.7405,-1.607819,0.7989949,-2.075788,345.8339,202.0645,5.018609,-1.482231,0.8128488,-2.034813,345.0652,182.6618,359.5725,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
14,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682492,0.5434394,-2.134296,337.7653,197.1012,359.7301,-1.607938,0.7990385,-2.075736,345.836,202.0693,5.017217,-1.482297,0.8128488,-2.03493,345.0707,182.6527,359.5877,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
