TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
26.64445,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5891781,0.4481388,Small Multiples 21,Small Multiples 27,NA,-9.135717,-21.50677,-45.31752
26.67778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5891781,0.4481388,Small Multiples 21,Small Multiples 27,NA,-9.259792,-21.65492,-45.2203
26.71111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5901058,0.4730019,Small Multiples 21,Small Multiples 27,NA,-7.894435,-19.23062,-46.58878
26.74445,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5941386,0.4466886,Small Multiples 21,Small Multiples 27,NA,-10.30909,-21.6358,-45.04145
26.77778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5934858,0.469033,Small Multiples 21,Small Multiples 27,NA,-8.652397,-19.20084,-46.49554
26.81111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5928361,0.4740216,Small Multiples 21,Small Multiples 27,NA,-8.391819,-18.50125,-46.83982
26.84444,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5909969,0.4446188,Small Multiples 21,Small Multiples 27,NA,-10.65825,-21.66928,-44.9552
26.87778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.594119,0.4383332,Small Multiples 21,Small Multiples 27,NA,-12.00897,-22.41223,-44.26628
26.91111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5875335,0.4251369,Small Multiples 21,Small Multiples 27,NA,-12.96618,-24.6627,-42.71754
26.94444,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5880598,0.4198489,Small Multiples 21,Small Multiples 27,NA,-14.11874,-25.82969,-41.64148
26.97778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5902587,0.4204382,Small Multiples 21,Small Multiples 27,NA,-14.62009,-26.52764,-41.01318
27.01111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.1173554,0.2122899,Small Multiples 21,Small Multiples 27,NA,10.86405,-47.02715,-6.834476
27.04445,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3862005,0.759135,Small Multiples 21,Small Multiples 27,NA,26.70942,-4.357901,-41.95436
27.08889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.08254647,0.5005636,Small Multiples 21,Small Multiples 27,NA,30.78514,-33.9662,-15.75212
27.12222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.2390025,0.1826844,Small Multiples 21,Small Multiples 27,NA,0.9624739,-48.22219,-9.553615
27.14445,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4552775,-0.04985332,Small Multiples 21,Small Multiples 27,NA,-22.25644,-43.72548,-10.61525
27.18889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.6666579,-0.1464612,Small Multiples 21,Small Multiples 27,NA,-32.42589,-35.37288,-17.07252
27.22222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3647826,0.3867593,Small Multiples 21,Small Multiples 27,NA,12.30151,-39.83926,-26.38089
27.25556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3647826,0.3867593,Small Multiples 21,Small Multiples 27,NA,14.54149,-39.17492,-26.10172
27.28889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.6179732,0.00714165,Small Multiples 21,Small Multiples 27,NA,-21.86702,-35.32982,-29.2785
27.32222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.6861046,-0.2056272,Small Multiples 21,Small Multiples 27,NA,-27.06324,-33.29292,-27.65673
27.35556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7349551,-0.1834509,Small Multiples 21,Small Multiples 27,NA,-26.783,-30.29867,-31.3903
27.38889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7497072,-0.2068008,Small Multiples 21,Small Multiples 27,NA,-26.21839,-29.46211,-32.68925
27.42222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7453197,-0.1781612,Small Multiples 21,Small Multiples 27,NA,-24.59986,-29.43509,-33.90006
27.45556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7481512,-0.1676369,Small Multiples 21,Small Multiples 27,NA,-23.98178,-29.01772,-34.70126
27.48889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-23.2813,-28.5187,-35.59007
27.52222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-22.99871,-28.3271,-35.92847
27.55556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-22.75394,-28.39811,-36.01634
27.58889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-22.87621,-28.56161,-35.80271
27.62222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-23.3915,-29.0416,-35.06178
27.65556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7509276,-0.1532061,Small Multiples 21,Small Multiples 27,NA,-24.28658,-29.73012,-33.8364
27.68889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4109833,0.4749448,Small Multiples 21,Small Multiples 27,NA,28.13271,-30.05826,-26.57472
27.72222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4087402,0.4800411,Small Multiples 21,Small Multiples 27,NA,28.27758,-29.80277,-26.71834
27.75556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4010526,0.4747568,Small Multiples 21,Small Multiples 27,NA,27.83463,-30.67367,-26.16114
