TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
40.4,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885703,0.8211654,-1.864318,328.6824,195.9456,358.7037
40.43333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.88565,0.8211777,-1.864299,328.6602,195.9543,358.7098
40.46667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885637,0.8211466,-1.864384,328.6557,195.9649,358.7009
40.5,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885536,0.8211149,-1.864361,328.663,195.9762,358.6949
40.53333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885506,0.8211269,-1.864268,328.6459,195.9764,358.6988
40.56667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885505,0.8210974,-1.864245,328.6631,195.9743,358.6859
40.6,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885492,0.8211331,-1.864202,328.6571,195.9679,358.7022
40.63334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885478,0.821093,-1.864138,328.6664,195.9773,358.6925
40.66667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885417,0.8210298,-1.86413,328.649,195.9895,358.6751
40.7,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885518,0.8211223,-1.86402,328.6534,195.9955,358.6591
40.73333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885533,0.8211797,-1.863978,328.662,195.9811,358.6931
40.77778,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885618,0.8212224,-1.864139,328.6923,195.9778,358.6804
40.83334,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885681,0.8212332,-1.864195,328.6663,195.982,358.692
40.86667,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885711,0.8212162,-1.864186,328.6528,195.9861,358.6753
40.9,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885733,0.821146,-1.86414,328.6716,195.9612,358.6891
40.93333,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885647,0.8210448,-1.864171,328.6565,195.9787,358.6748
